setup,mechanic,window,n,wr,avg,med,p10_ret,p05_ret,worst_ret,sum,mfe_med,mae_med,avg_bars,p_hit15,p_hit25,exit_reasons
L1,fixed_5,full,103,0.5533980582524272,0.0005053765062659825,0.0003463231900511232,-0.001403124622107499,-0.002178730957974506,-0.007150615758018786,0.05205378014539619,0.0011026051594815733,-0.0008078972399300222,4.718446601941747,0.4368932038834951,0.1941747572815534,time:87.4%;eod:12.6%
L1,fixed_5,H1,67,0.582089552238806,0.0007248355849114667,0.00037441141080463147,-0.0008437009437927578,-0.001975749841268226,-0.007150615758018786,0.048563984189068266,0.00146176632200401,-0.0009266354488034478,4.835820895522388,0.47761194029850745,0.23880597014925373,time:92.5%;eod:7.5%
L1,fixed_5,H2,36,0.5,9.693877656466454e-05,-3.886863555191411e-05,-0.001797578450841164,-0.0021363143640572013,-0.004834791352302581,0.0034897959563279235,0.0009682525656355967,-0.0006536171280047687,4.5,0.3611111111111111,0.1111111111111111,time:77.8%;eod:22.2%
L1,fixed_8,full,95,0.5368421052631579,0.0004861046917253946,0.00024200481422687048,-0.001695347711349493,-0.00201346698930841,-0.005661341681655663,0.046179945713912485,0.0012632933787108946,-0.0010495765981749505,7.4,0.45263157894736844,0.25263157894736843,time:84.2%;eod:15.8%
L1,fixed_8,H1,61,0.5737704918032787,0.0006350971505461864,0.0002754671219884486,-0.0016718233296175722,-0.0019865499854339053,-0.005661341681655663,0.03874092618331737,0.0015408624444777086,-0.0011173246613627175,7.573770491803279,0.5081967213114754,0.29508196721311475,time:90.2%;eod:9.8%
L1,fixed_8,H2,34,0.47058823529411764,0.0002187946920763269,-0.00011766837716820078,-0.001664085781450386,-0.0021164773257297542,-0.003816766866565957,0.0074390195305951146,0.0011895332695996963,-0.000754656653524699,7.088235294117647,0.35294117647058826,0.17647058823529413,time:73.5%;eod:26.5%
L1,fixed_12,full,89,0.5730337078651685,0.0007775461697613926,0.0002078350050225275,-0.0019577515279181057,-0.002504891404873555,-0.006500649601689612,0.06920160910876394,0.0018835530961378577,-0.0012052788128605885,10.808988764044944,0.5617977528089888,0.33707865168539325,time:80.9%;eod:19.1%
L1,fixed_12,H1,57,0.631578947368421,0.001035222123400749,0.0003779390468159338,-0.0021440859726111535,-0.0026155665876836263,-0.006416081847354094,0.059007661033842695,0.0021624827972825944,-0.0013297415417187208,11.350877192982455,0.631578947368421,0.42105263157894735,time:87.7%;eod:12.3%
L1,fixed_12,H2,32,0.46875,0.0003185608773412889,-0.00011608874820523418,-0.0017893109240264549,-0.0019780676945820863,-0.006500649601689612,0.010193948074921244,0.0012842184415768898,-0.0011419256259439514,9.84375,0.4375,0.1875,time:68.8%;eod:31.2%
L1,fixed_18,full,87,0.6551724137931034,0.0015804898714693995,0.000957407665939769,-0.0014225653233305823,-0.0018625181814433068,-0.0030748066968646626,0.13750261881783776,0.002345719141481517,-0.0012914673968157375,15.264367816091953,0.632183908045977,0.4367816091954023,time:72.4%;eod:27.6%
