setup,mechanic,window,n,wr,avg,med,p10_ret,p05_ret,worst_ret,sum,mfe_med,mae_med,avg_bars,p_hit15,p_hit25,exit_reasons
L1,fixed_5,full,44,0.5227272727272727,0.00045758449430015715,0.0002774610542540801,-0.0014542151121163971,-0.0020807191059489917,-0.003548881525942571,0.020133717749206914,0.0014778250389765324,-0.0011156287992804548,4.590909090909091,0.4772727272727273,0.25,time:84.1%;eod:15.9%
L1,fixed_5,H1,26,0.6538461538461539,0.0007549252413355373,0.0008739304492403344,-0.0010757006522348345,-0.001381141984691081,-0.003548881525942571,0.01962805627472397,0.0015251847065015367,-0.000870484555770823,4.576923076923077,0.5,0.23076923076923078,time:88.5%;eod:11.5%
L1,fixed_5,H2,18,0.3333333333333333,2.8092304137941307e-05,-0.00021866561287636754,-0.0020382418517712387,-0.0022952910049588602,-0.003445551767134014,0.0005056614744829435,0.0013745495620950399,-0.0014662823009952142,4.611111111111111,0.4444444444444444,0.2777777777777778,time:77.8%;eod:22.2%
L1,fixed_8,full,40,0.7,0.0006372070687108323,0.0010528067134081276,-0.0021299785532254197,-0.0025476376584374514,-0.004246299913096441,0.02548828274843329,0.0019394808412913633,-0.0011700862279269142,7.025,0.575,0.3,time:82.5%;eod:17.5%
L1,fixed_8,H1,24,0.75,0.000935514242375692,0.0011076137183079204,-0.000746779768624628,-0.0010640167445154058,-0.0032626097880652516,0.022452341817016608,0.00211550200395183,-0.0009381980039650517,7.166666666666667,0.5833333333333334,0.2916666666666667,time:87.5%;eod:12.5%
L1,fixed_8,H2,16,0.625,0.00018974630821354255,0.0003754943040972236,-0.0024895293869507396,-0.0029440806380379436,-0.004246299913096441,0.0030359409314166808,0.0016389799100645641,-0.001463687452919582,6.8125,0.5625,0.3125,time:75.0%;eod:25.0%
L1,fixed_12,full,36,0.5833333333333334,0.0005773778578436442,0.00022910806484555124,-0.0016891537654817323,-0.0030238365222262364,-0.0034721746186556768,0.02078560288237119,0.0021621992466615003,-0.001504296716046627,10.416666666666666,0.6666666666666666,0.4166666666666667,time:72.2%;eod:27.8%
L1,fixed_12,H1,23,0.6521739130434783,0.0009312607021057204,0.0006731503821482132,-0.0008221736660128931,-0.001240215087202745,-0.0034721746186556768,0.02141899614843157,0.0023903500139639267,-0.0010700188945511613,10.565217391304348,0.6956521739130435,0.43478260869565216,time:73.9%;eod:26.1%
L1,fixed_12,H2,13,0.46153846153846156,-4.8722558927721386e-05,-3.723290576806981e-05,-0.0027423014360366867,-0.003095257930279538,-0.003380943562492744,-0.000633393266060378,0.0015411979656114738,-0.0016349890354709906,10.153846153846153,0.6153846153846154,0.38461538461538464,time:69.2%;eod:30.8%
L1,fixed_18,full,34,0.6470588235294118,0.0009404569465767595,0.0005510462456428389,-0.0017254129163089436,-0.002083053081936592,-0.0024759505713387586,0.03197553618360982,0.0024661870515859663,-0.0015750532370208403,14.617647058823529,0.7058823529411765,0.5,time:61.8%;eod:38.2%
L1,fixed_18,H1,22,0.7272727272727273,0.001202502688565744,0.0007806061658278685,-0.0018092993176731297,-0.002066730449720089,-0.0024759505713387586,0.02645505914844637,0.0027587431868093537,-0.0015008265079604621,15.045454545454545,0.7727272727272727,0.5454545454545454,time:63.6%;eod:36.4%
L1,fixed_18,H2,12,0.5,0.0004600397529302876,0.00018394194648652107,-0.0011051570616538275,-0.0015614304399224732,-0.0020923038116338333,0.005520477035163451,0.0016993446756768948,-0.0017261944480551072,13.833333333333334,0.5833333333333334,0.4166666666666667,time:58.3%;eod:41.7%
L1,fixed_24,full,33,0.7575757575757576,0.001442791156282003,0.001103021086451994,-0.0011065262104266616,-0.0020837646765286878,-0.004651946135928231,0.0476121081573061,0.002798967644878303,-0.0015895056355684778,18.12121212121212,0.7575757575757576,0.5757575757575758,time:57.6%;eod:42.4%
L1,fixed_24,H1,21,0.8095238095238095,0.001468690450572471,0.001103021086451994,-0.001024313054407866,-0.002078071919791924,-0.004651946135928231,0.03084249946202189,0.0028020699216986245,-0.0015895056355684778,18.61904761904762,0.8095238095238095,0.6190476190476191,time:61.9%;eod:38.1%
L1,fixed_24,H2,12,0.6666666666666666,0.0013974673912736841,0.0010754523609186606,-0.0010319375208335034,-0.0015614304399224732,-0.0020923038116338333,0.01676960869528421,0.0023655232159498496,-0.0017261944480551072,17.25,0.6666666666666666,0.5,eod:50.0%;time:50.0%
L1,fixed_eod,full,28,0.8571428571428571,0.003216668410786066,0.0024171890252607797,-0.00014727893304607991,-0.0008740202234735538,-0.0015986468738155013,0.09006671550200984,0.0035073607967796017,-0.0017261944480551072,41.0,0.8571428571428571,0.75,eod:100.0%
L1,fixed_eod,H1,18,0.9444444444444444,0.0035363058490304002,0.0027152043442365548,0.00031439193478999267,0.00010086709985568936,-0.00040405299669477035,0.06365350528254721,0.0035073607967796017,-0.0017678385517981843,42.166666666666664,0.8888888888888888,0.8333333333333334,eod:100.0%
L1,fixed_eod,H2,10,0.7,0.0026413210219462637,0.0010837940891983422,-0.0011742362368697746,-0.001386441555342638,-0.0015986468738155013,0.026413210219462635,0.0030497359336040253,-0.0017261944480551072,38.9,0.8,0.6,eod:100.0%
L1,sma9_close_max12,full,40,0.675,0.0004645650315042354,0.0006851660740609944,-0.0012236019306516074,-0.002220158113299009,-0.0029048008421374005,0.018582601260169418,0.0011517416720109308,-0.0011506337816344914,5.325,0.35,0.15,sma9_close:82.5%;eod:15.0%;time:2.5%
L1,sma9_close_max12,H1,24,0.7083333333333334,0.0006475658154918065,0.0006679769372441857,-0.0008912716167241874,-0.0009756132198220635,-0.0022034829800015032,0.015541579571803354,0.0012875786735528916,-0.001004937667354766,5.458333333333333,0.3333333333333333,0.16666666666666666,sma9_close:87.5%;eod:12.5%
