setup,mechanic,window,n,wr,avg,med,p10_ret,p05_ret,worst_ret,sum,mfe_med,mae_med,avg_bars,p_hit15,p_hit25,exit_reasons
L1,fixed_5,full,382,0.5706806282722513,0.0002672567950000427,0.00021175070740975244,-0.002002396579335941,-0.002739255251029937,-0.018335124338701325,0.10209209569001632,0.0009933057174807969,-0.0009371024143517426,4.832460732984293,0.3612565445026178,0.20680628272251309,time:90.1%;eod:9.9%
L1,fixed_5,H1,191,0.6178010471204188,0.0004049844804996965,0.00039873050700856005,-0.0021028712441464315,-0.0031662214511869458,-0.018335124338701325,0.07735203577544203,0.001401110038648401,-0.0010257585449775508,4.848167539267016,0.4712041884816754,0.2774869109947644,time:91.1%;eod:8.9%
L1,fixed_5,H2,191,0.5235602094240838,0.00012952910950038893,5.293012232554517e-05,-0.0015809912688411476,-0.002423236109450111,-0.005459682213304395,0.024740059914574286,0.000712782212477503,-0.0007600692705875822,4.816753926701571,0.2513089005235602,0.13612565445026178,time:89.0%;eod:11.0%
L1,fixed_8,full,346,0.6011560693641619,0.0006450108522956758,0.000446844021399051,-0.002015299252859426,-0.003468381898566353,-0.016917081671418477,0.2231737548943038,0.0013460690628273042,-0.0010182112064009985,7.42485549132948,0.4595375722543353,0.30057803468208094,time:84.4%;eod:15.6%
L1,fixed_8,H1,176,0.6420454545454546,0.0010531326195849637,0.0008317776638143703,-0.0020784752709500642,-0.004015796936226751,-0.016917081671418477,0.1853513410469536,0.0018650619730181672,-0.0012671548341348648,7.494318181818182,0.5795454545454546,0.4034090909090909,time:87.5%;eod:12.5%
L1,fixed_8,H2,170,0.5588235294117647,0.00022248478733735407,0.00019479211110895456,-0.0017675887751071647,-0.002880009770335806,-0.007652097394128754,0.03782241384735019,0.0009115564086694672,-0.0008597692685796132,7.352941176470588,0.3352941176470588,0.19411764705882353,time:81.2%;eod:18.8%
L1,fixed_12,full,330,0.6424242424242425,0.0008611489519793375,0.0005285666310489434,-0.0022817904852317494,-0.0036624978230321236,-0.018717045571613244,0.2841791541531814,0.0017373958203085182,-0.001142026578909161,10.806060606060607,0.5303030303030303,0.3606060606060606,time:79.4%;eod:20.6%
L1,fixed_12,H1,167,0.6646706586826348,0.0014491423639339113,0.0010095095337256943,-0.0022822622465209497,-0.004168646640573703,-0.018717045571613244,0.2420067747769632,0.0024843500470197455,-0.0014709419818110803,11.125748502994012,0.6766467065868264,0.49700598802395207,time:84.4%;eod:15.6%
L1,fixed_12,H2,163,0.6196319018404908,0.0002587262538418295,0.0002639679410800788,-0.0022054097930951813,-0.0035832277748390927,-0.007925411237525659,0.042172379376218205,0.0011703620744738519,-0.000997536053122694,10.478527607361963,0.3803680981595092,0.22085889570552147,time:74.2%;eod:25.8%
L1,fixed_18,full,319,0.6865203761755486,0.0012890872637674891,0.0009921708560582942,-0.0019983834597923746,-0.003937515697985527,-0.013051880616753109,0.41121883714182905,0.0023115197221317274,-0.0012789750249724285,15.39498432601881,0.6426332288401254,0.4702194357366771,time:73.0%;eod:27.0%
L1,fixed_18,H1,160,0.71875,0.0018631312758973547,0.001488265815233425,-0.0016184158405674553,-0.004395609253731047,-0.013051880616753109,0.29810100414357676,0.003226044224027169,-0.001591135852511305,15.9625,0.76875,0.63125,time:76.2%;eod:23.8%
L1,fixed_18,H2,159,0.6540880503144654,0.0007114329119386936,0.0004920329870661266,-0.0020221173802044577,-0.00334576519159413,-0.006397233165273297,0.11311783299825229,0.0015395925684373868,-0.0011005056751788311,14.823899371069182,0.5157232704402516,0.3081761006289308,time:69.8%;eod:30.2%
