symbol,sample,setup,actual_n,actual_wr,actual_avg,placebo_n,placebo_wr,placebo_avg
SPY,historical_2019_2021,L1_first,217,0.7741935483870968,0.00425563656052525,215,0.4744186046511628,-0.0011645825467936535
SPY,historical_2019_2021,L2_first,196,0.7602040816326531,0.0036303295319742635,194,0.4587628865979381,-0.000838203761678995
SPY,historical_2019_2021,L3_first,137,0.8029197080291971,0.004768763462112178,136,0.49264705882352944,-0.0006972695369515098
QQQ,historical_2014_2015,L1_first,60,0.8166666666666667,0.004244403095568684,60,0.4166666666666667,-0.0007224485328981567
QQQ,historical_2014_2015,L2_first,56,0.8035714285714286,0.004248694276824139,56,0.42857142857142855,-0.0006376683332522948
QQQ,historical_2014_2015,L3_first,36,0.8611111111111112,0.005212701027526277,36,0.4722222222222222,-0.0002862951435708663
SPY,recent_60d,L1_first,27,0.8148148148148148,0.0023572322714267855,27,0.2962962962962963,-0.0009646295305302255
SPY,recent_60d,L2_first,24,0.7916666666666666,0.0024302722755614003,24,0.3333333333333333,-0.0007468233719714843
SPY,recent_60d,L3_first,14,1.0,0.002583596960349964,14,0.5,-0.0007593402996781526
QQQ,recent_60d,L1_first,28,0.8571428571428571,0.003216668410786026,28,0.5714285714285714,-0.0007249960317948421
QQQ,recent_60d,L2_first,25,0.84,0.0029260194839335653,25,0.6,-0.0011515938051590124
QQQ,recent_60d,L3_first,14,1.0,0.0047289360248627356,14,0.42857142857142855,-0.0024776090461526923
TQQQ,recent_60d,L1_first,28,0.8928571428571429,0.010309379684252272,28,0.5714285714285714,-0.0013995889936630796
TQQQ,recent_60d,L2_first,25,0.84,0.009105853803895664,25,0.56,-0.0028416679578418293
TQQQ,recent_60d,L3_first,14,1.0,0.014949027428374157,14,0.42857142857142855,-0.007005073391736878
