label,n,per_day,wr,avg,med,sum,mfe_med,hit15,hit25,sym,recipe,combo,k,flags,delta_avg,base_avg,base_wr,base_n
SPY|5m|raw_bb_dn|alone,113,1.8833333333333333,0.5663716814159292,0.000531917347616485,0.0003341044707276808,0.060106660280662805,0.0010264736122151952,0.35398230088495575,0.1592920353982301,SPY,raw_bb_dn,alone,0,,0.0,,,
SPY|raw_bb_dn+15m_above_sma9,44,0.7333333333333333,0.5454545454545454,0.0008389094143294887,0.000240750279945523,0.0369120142304975,0.0010098809144321041,0.29545454545454547,0.18181818181818182,SPY,raw_bb_dn,15m_above_sma9,1,15m_above_sma9,0.0003069920667130037,0.000531917347616485,0.5663716814159292,113.0
SPY|raw_bb_dn+15m_bb_dn,8,0.13333333333333333,0.625,0.0009853485949246066,0.0005281802500086696,0.007882788759396853,0.0011322693095568992,0.375,0.25,SPY,raw_bb_dn,15m_bb_dn,1,15m_bb_dn,0.0004534312473081216,0.000531917347616485,0.5663716814159292,113.0
SPY|raw_bb_dn+15m_bb_mid,111,1.85,0.5675675675675675,0.0005430812957474484,0.0003341044707276808,0.06028202382796677,0.0010264736122151952,0.35135135135135137,0.16216216216216217,SPY,raw_bb_dn,15m_bb_mid,1,15m_bb_mid,1.1163948130963404e-05,0.000531917347616485,0.5663716814159292,113.0
SPY|raw_bb_dn+15m_bb_up,0,0.0,,,,0.0,,,,SPY,raw_bb_dn,15m_bb_up,1,15m_bb_up,,0.000531917347616485,0.5663716814159292,113.0
SPY|raw_bb_dn+15m_below_sma9,82,1.3666666666666667,0.5487804878048781,0.00025101926192912477,0.0001422784626525786,0.02058357947818823,0.0010439225338636504,0.3780487804878049,0.13414634146341464,SPY,raw_bb_dn,15m_below_sma9,1,15m_below_sma9,-0.0002808980856873602,0.000531917347616485,0.5663716814159292,113.0
SPY|raw_bb_dn+15m_candle_dn,75,1.25,0.4533333333333333,0.0005089976209590145,-5.7733197716514084e-05,0.03817482157192609,0.0009573504295266044,0.30666666666666664,0.17333333333333334,SPY,raw_bb_dn,15m_candle_dn,1,15m_candle_dn,-2.2919726657470458e-05,0.000531917347616485,0.5663716814159292,113.0
SPY|raw_bb_dn+15m_candle_up,49,0.8166666666666667,0.6938775510204082,0.0004564678663988371,0.0004098726872416858,0.02236692545354302,0.0012162804906359348,0.3877551020408163,0.14285714285714285,SPY,raw_bb_dn,15m_candle_up,1,15m_candle_up,-7.544948121764787e-05,0.000531917347616485,0.5663716814159292,113.0
SPY|raw_bb_dn+15m_rsi_hi,15,0.25,0.6,0.0005810390149674438,0.0003139207594158311,0.008715585224511657,0.0007154013291570394,0.26666666666666666,0.13333333333333333,SPY,raw_bb_dn,15m_rsi_hi,1,15m_rsi_hi,4.912166735095884e-05,0.000531917347616485,0.5663716814159292,113.0
SPY|raw_bb_dn+15m_rsi_lo,13,0.21666666666666667,0.7692307692307693,0.0008045685815204655,0.0004829444358489532,0.010459391559766051,0.0012939228690613813,0.3076923076923077,0.23076923076923078,SPY,raw_bb_dn,15m_rsi_lo,1,15m_rsi_lo,0.00027265123390398055,0.000531917347616485,0.5663716814159292,113.0
SPY|raw_bb_dn+15m_rsi_mid,93,1.55,0.5268817204301075,0.00046521101162760214,4.8377874987570735e-05,0.043264624081367,0.001015794936572112,0.3655913978494624,0.17204301075268819,SPY,raw_bb_dn,15m_rsi_mid,1,15m_rsi_mid,-6.670633598888286e-05,0.000531917347616485,0.5663716814159292,113.0
SPY|raw_bb_dn+15m_vwap_dn,20,0.3333333333333333,0.55,0.0007877931576917407,0.0001923510455996702,0.015755863153834815,0.0015040203421062825,0.5,0.3,SPY,raw_bb_dn,15m_vwap_dn,1,15m_vwap_dn,0.0002558758100752557,0.000531917347616485,0.5663716814159292,113.0
SPY|raw_bb_dn+15m_vwap_up,13,0.21666666666666667,0.6153846153846154,0.0007335246831583486,0.0004759110453043114,0.009535820881058532,0.0008273671512017966,0.38461538461538464,0.23076923076923078,SPY,raw_bb_dn,15m_vwap_up,1,15m_vwap_up,0.00020160733554186363,0.000531917347616485,0.5663716814159292,113.0
