recipe,combo,k,n_syms,syms,coverage,mean_n,mean_wr,mean_avg,mean_delta,min_n,min_wr,min_avg,sum_score,detail
L1_prior_up,1w_above_sma9,1,4,"DIA,IWM,QQQ,SPY",4/4,41.5,0.625484350410911,0.00111103681278775,5.888935548655846e-05,35,0.5789473684210527,0.0008904100109302,0.03183076947746781,DIA n=50 WR=62% avg=+0.089% Δ=+0.000% | IWM n=38 WR=58% avg=+0.152% Δ=+0.000% | QQQ n=35 WR=63% avg=+0.097% Δ=+0.019% | SPY n=43 WR=67% avg=+0.106% Δ=+0.005%
L1_prior_up,1h_bb_mid,1,4,"DIA,IWM,QQQ,SPY",4/4,42.0,0.6218201754385965,0.0010991544659001,4.700700859889726e-05,38,0.575,0.0008257703155037,0.03180691155590297,DIA n=45 WR=62% avg=+0.097% Δ=+0.008% | IWM n=38 WR=58% avg=+0.152% Δ=+0.000% | QQQ n=40 WR=57% avg=+0.083% Δ=+0.005% | SPY n=45 WR=71% avg=+0.108% Δ=+0.006%
L3_rsi35,1d_bb_mid,1,4,"DIA,IWM,QQQ,SPY",4/4,19.5,0.7383475965637091,0.0014493976151959249,3.3236867174e-05,12,0.5833333333333334,0.0010810191995559,0.031002488329568405,DIA n=26 WR=69% avg=+0.123% Δ=+0.000% | IWM n=12 WR=58% avg=+0.135% Δ=+0.000% | QQQ n=17 WR=76% avg=+0.214% Δ=+0.013% | SPY n=23 WR=91% avg=+0.108% Δ=+0.000%
L2_hvol,1w_above_sma9,1,4,"DIA,IWM,QQQ,SPY",4/4,32.75,0.6586064797271693,0.00115907166746785,5.535742527622198e-05,28,0.6071428571428571,0.0008946180454947,0.030913846373830968,DIA n=39 WR=69% avg=+0.118% Δ=+0.000% | IWM n=29 WR=62% avg=+0.132% Δ=+0.000% | QQQ n=28 WR=61% avg=+0.089% Δ=+0.016% | SPY n=35 WR=71% avg=+0.124% Δ=+0.006%
L3_rsi35,1w_above_sma9,1,4,"DIA,IWM,QQQ,SPY",4/4,18.25,0.7415293040293041,0.001488313855616175,7.215310759426763e-05,12,0.5833333333333334,0.0011520482334688,0.03063680776417351,DIA n=26 WR=69% avg=+0.123% Δ=+0.000% | IWM n=12 WR=58% avg=+0.135% Δ=+0.000% | QQQ n=14 WR=79% avg=+0.222% Δ=+0.022% | SPY n=21 WR=90% avg=+0.115% Δ=+0.007%
L3_rsi35,1h_bb_mid,1,4,"DIA,IWM,QQQ,SPY",4/4,19.0,0.7307449494949496,0.00142631569515055,1.015494712863275e-05,12,0.5833333333333334,0.0010896139876579,0.030120193007216824,DIA n=24 WR=71% avg=+0.126% Δ=+0.003% | IWM n=12 WR=58% avg=+0.135% Δ=+0.000% | QQQ n=18 WR=72% avg=+0.200% Δ=+0.000% | SPY n=22 WR=91% avg=+0.109% Δ=+0.001%
L3_rsi35,1w_rsi_hi,1,4,"DIA,IWM,QQQ,SPY",4/4,16.75,0.726998491704374,0.001549716557420875,0.000133555809398925,12,0.5833333333333334,0.0012254774136195,0.02998336131152413,DIA n=26 WR=69% avg=+0.123% Δ=+0.000% | IWM n=12 WR=58% avg=+0.135% Δ=+0.000% | QQQ n=12 WR=75% avg=+0.232% Δ=+0.032% | SPY n=17 WR=88% avg=+0.130% Δ=+0.022%
L2_hvol,1w_rsi_hi,1,4,"DIA,IWM,QQQ,SPY",4/4,29.0,0.6395536846961135,0.001139050744912725,3.5336502721115484e-05,23,0.5652173913043478,0.000799971926197,0.028256487363688743,DIA n=39 WR=69% avg=+0.118% Δ=+0.000% | IWM n=29 WR=62% avg=+0.132% Δ=+0.000% | QQQ n=23 WR=57% avg=+0.080% Δ=+0.007% | SPY n=25 WR=68% avg=+0.125% Δ=+0.007%
L1_prior_up,15m_candle_dn,1,3,"DIA,IWM,SPY",3/4,30.333333333333332,0.6504255980118049,0.0016003083638142668,0.0004566430937328124,25,0.6216216216216216,0.0009543498748572,0.029552516726513864,DIA n=37 WR=62% avg=+0.095% Δ=+0.006% | IWM n=25 WR=64% avg=+0.227% Δ=+0.075% | SPY n=29 WR=69% avg=+0.158% Δ=+0.056%
L2_hvol,15m_candle_dn,1,3,"DIA,IWM,SPY",3/4,23.333333333333332,0.6979797979797979,0.0016300591388628332,0.0004025551480302746,18,0.6666666666666666,0.0012098114825191,0.027577834367876915,DIA n=30 WR=70% avg=+0.121% Δ=+0.003% | IWM n=18 WR=67% avg=+0.193% Δ=+0.061% | SPY n=22 WR=73% avg=+0.175% Δ=+0.057%
