label,n,per_day,wr,avg,med,sum,mfe_med,hit15,hit25,sym,recipe,combo,k,flags,delta_avg,base_avg,base_wr,base_n,score
SPY|L1_prior_up+1d_candle_dn+1w_rsi_mid+30m_below_sma9,41,0.08855291576673865,0.8292682926829268,0.0022123847780476354,0.0018907062741506664,0.09070777589995305,0.002573208125442372,0.7804878048780488,0.5121951219512195,SPY,L1_prior_up,1d_candle_dn+1w_rsi_mid+30m_below_sma9,3,1d_candle_dn+1w_rsi_mid+30m_below_sma9,0.0016461157963985583,0.000566268981649077,0.6157760814249363,393.0,0.018830646717536943
SPY|L1_prior_up+1d_candle_dn+1w_candle_up+1w_rsi_mid,57,0.12311015118790497,0.7543859649122807,0.0019139560493331266,0.0012709634451706364,0.10909549481198821,0.002164627522883489,0.5789473684210527,0.3684210526315789,SPY,L1_prior_up,1d_candle_dn+1w_candle_up+1w_rsi_mid,3,1d_candle_dn+1w_candle_up+1w_rsi_mid,0.0013476870676840495,0.000566268981649077,0.6157760814249363,393.0,0.018125941528996055
SPY|L1_prior_up+1d_candle_dn+1w_candle_up+30m_candle_up,43,0.09287257019438445,0.7441860465116279,0.0021801045217412942,0.0009075770333299982,0.09374449443487565,0.0013910508596484128,0.4883720930232558,0.3488372093023256,SPY,L1_prior_up,1d_candle_dn+1w_candle_up+30m_candle_up,3,1d_candle_dn+1w_candle_up+30m_candle_up,0.0016138355400922171,0.000566268981649077,0.6157760814249363,393.0,0.017786761016653888
SPY|L2_hvol+15m_above_sma9+1d_candle_dn+1w_candle_up,32,0.06911447084233262,0.8125,0.0023758637613221847,0.001334888976350035,0.07602764036230991,0.0022239712271352463,0.59375,0.375,SPY,L2_hvol,15m_above_sma9+1d_candle_dn+1w_candle_up,3,15m_above_sma9+1d_candle_dn+1w_candle_up,0.0018052632460146137,0.0005706005153075709,0.5893416927899686,319.0,0.017639888456466087
SPY|L1_prior_up+15m_above_sma9+1d_candle_dn+1w_candle_up,44,0.09503239740820735,0.7727272727272727,0.0020777147583137257,0.0011979444278763518,0.09141944936580393,0.001943217117371221,0.5681818181818182,0.3181818181818182,SPY,L1_prior_up,15m_above_sma9+1d_candle_dn+1w_candle_up,3,15m_above_sma9+1d_candle_dn+1w_candle_up,0.0015114457766646485,0.000566268981649077,0.6157760814249363,393.0,0.017540727971990567
SPY|L2_hvol+1d_candle_dn+1w_candle_up+30m_candle_up,36,0.07775377969762419,0.75,0.002334610495018279,0.0008803009227218439,0.08404597782065804,0.0013789436331371752,0.4722222222222222,0.3611111111111111,SPY,L2_hvol,1d_candle_dn+1w_candle_up+30m_candle_up,3,1d_candle_dn+1w_candle_up+30m_candle_up,0.001764009979710708,0.0005706005153075709,0.5893416927899686,319.0,0.017509578712637093
SPY|L1_prior_up+1d_candle_dn+1w_candle_up,96,0.20734341252699784,0.7395833333333334,0.001372445986574173,0.0008250771438647053,0.1317548147111206,0.0013943700384363433,0.4895833333333333,0.28125,SPY,L1_prior_up,1d_candle_dn+1w_candle_up,2,1d_candle_dn+1w_candle_up,0.000806177004925096,0.000566268981649077,0.6157760814249363,393.0,0.016668887151243657
SPY|L1_prior_up+1d_bb_mid+1d_candle_dn+1w_candle_up,96,0.20734341252699784,0.7395833333333334,0.001372445986574173,0.0008250771438647053,0.1317548147111206,0.0013943700384363433,0.4895833333333333,0.28125,SPY,L1_prior_up,1d_bb_mid+1d_candle_dn+1w_candle_up,3,1d_bb_mid+1d_candle_dn+1w_candle_up,0.000806177004925096,0.000566268981649077,0.6157760814249363,393.0,0.016668887151243657
SPY|L1_prior_up+1d_candle_dn+1w_bb_mid+1w_candle_up,95,0.20518358531317496,0.7368421052631579,0.0013773393439767431,0.00080131280755813,0.1308472376777906,0.0013976892172242739,0.49473684210526314,0.28421052631578947,SPY,L1_prior_up,1d_candle_dn+1w_bb_mid+1w_candle_up,3,1d_candle_dn+1w_bb_mid+1w_candle_up,0.0008110703623276661,0.000566268981649077,0.6157760814249363,393.0,0.016604164117144847
SPY|L2_hvol+1w_rsi_mid+30m_candle_up+30m_rsi_mid,53,0.11447084233261338,0.6981132075471698,0.0018923541280413318,0.0009262873217024126,0.10029476878619059,0.0016658749252396188,0.5471698113207547,0.33962264150943394,SPY,L2_hvol,1w_rsi_mid+30m_candle_up+30m_rsi_mid,3,1w_rsi_mid+30m_candle_up+30m_rsi_mid,0.001321753612733761,0.0005706005153075709,0.5893416927899686,319.0,0.016505861718867577
SPY|L2_hvol+1w_candle_up+30m_candle_up+30m_rsi_mid,57,0.12311015118790497,0.7017543859649122,0.0018031689921737236,0.00080131280755813,0.10278063255390224,0.0013394662071781749,0.45614035087719296,0.3157894736842105,SPY,L2_hvol,1w_candle_up+30m_candle_up+30m_rsi_mid,3,1w_candle_up+30m_candle_up+30m_rsi_mid,0.0012325684768661528,0.0005706005153075709,0.5893416927899686,319.0,0.016360236376424662
SPY|L1_prior_up+1w_rsi_mid+30m_candle_up+30m_rsi_mid,66,0.14254859611231102,0.7121212121212122,0.0016589800285800795,0.0010576240627051536,0.10949268188628525,0.0017471827871288204,0.5757575757575758,0.3484848484848485,SPY,L1_prior_up,1w_rsi_mid+30m_candle_up+30m_rsi_mid,3,1w_rsi_mid+30m_candle_up+30m_rsi_mid,0.0010927110469310026,0.000566268981649077,0.6157760814249363,393.0,0.016336506017828642
