keeper,tf,side,base,n,wr,avg,med,mfe_med,hit15,wf_ok,h1_n,h1_wr,h1_avg,h2_n,h2_wr,h2_avg,passes,tier
L1_5m_bbdn_prior_up,5m,long,bb_dn,49,0.7142857142857143,0.0010195138289088262,0.0006748447115318967,0.0012162804906359348,0.3469387755102041,True,26,0.7692307692307693,0.0009887001984884868,23,0.6521739130434783,0.0010543466285144272,True,trade
L2_5m_bbdn_prior_up_hvol,5m,long,bb_dn,39,0.7435897435897436,0.0011785190995666829,0.0006748447115318967,0.0013289414949653189,0.38461538461538464,True,18,0.7777777777777778,0.0011742980462241105,21,0.7142857142857143,0.001182137145288888,True,trade
L3_5m_bbdn_prior_up_rsi35,5m,long,bb_dn,23,0.9130434782608695,0.0010810191995559147,0.0007652578504988572,0.0014707498144861386,0.43478260869565216,True,10,0.8,0.000462583363749991,13,1.0,0.0015567390732527792,True,trade
L1v_5m_bbdn_prior_up_vix5up,5m,long,bb_dn,35,0.7714285714285715,0.0015583168473196122,0.000891933861311367,0.001359142555523718,0.42857142857142855,True,19,0.8421052631578947,0.001452882320944847,16,0.6875,0.0016835203473896457,True,trade
L2v_5m_bbdn_prior_up_hvol_vix5up,5m,long,bb_dn,25,0.8,0.001689722042716415,0.0010163819679607222,0.0014707498144861386,0.44,True,13,0.8461538461538461,0.0015892605168143716,12,0.75,0.0017985553624436286,True,trade
L3v_5m_bbdn_prior_up_rsi35_vix5up,5m,long,bb_dn,16,0.9375,0.0016555440847892747,0.0010793929865323681,0.0014970352489731553,0.5,True,8,0.875,0.001115602506221211,8,1.0,0.0021954856633573383,True,trade
L1m_5m_bbdn_prior_up_vix_ma10,5m,long,bb_dn,14,0.7857142857142857,0.0016823611658586654,0.0011895815544016308,0.0016643405893910224,0.5714285714285714,True,9,0.7777777777777778,0.0008745323882000111,5,0.8,0.003136452965644243,False,watch
L1h_5m_prior_up_1h_below_sma9,5m,long,bb_dn,12,0.9166666666666666,0.0015379434704548278,0.0003990569547613898,0.0015246491994332922,0.5833333333333334,True,7,0.8571428571428571,0.0006401715066406728,5,1.0,0.0027948242197946447,False,watch
L1c_5m_prior_up_15m_candle_dn,5m,long,bb_dn,29,0.6896551724137931,0.0015795438854930538,0.0007939387394744202,0.0011172582269745046,0.41379310344827586,True,15,0.8,0.0013620112699948969,14,0.5714285714285714,0.0018126145449553646,True,trade
L1cw_5m_prior_up_15m_cdn_1w_sma9,5m,long,bb_dn,28,0.6785714285714286,0.0015843783961745747,0.0007795982949866387,0.00107186591959485,0.39285714285714285,True,14,0.7857142857142857,0.0013561422473937848,14,0.5714285714285714,0.0018126145449553646,True,trade
L1w_5m_prior_up_1w_above_sma9,5m,long,bb_dn,43,0.6744186046511628,0.00106473660380166,0.0006748447115318967,0.0011172582269745046,0.37209302325581395,True,24,0.75,0.0009767999767668807,19,0.5789473684210527,0.0011758144484771708,True,trade
L2h_5m_hvol_15m_candle_dn,5m,long,bb_dn,22,0.7272727272727273,0.0017470051681195823,0.000720051281015377,0.0011604352176037835,0.4090909090909091,True,10,0.8,0.0017133386574981202,12,0.6666666666666666,0.0017750605936374675,True,trade
L3h_5m_rsi35_15m_candle_dn,5m,long,bb_dn,16,0.9375,0.0015691415757485214,0.0009699994852965244,0.0011717762868610482,0.4375,True,8,0.875,0.0008639068418477419,8,1.0,0.002274376309649301,True,trade
L3a_5m_rsi35_1h_above_sma9,5m,long,bb_dn,14,0.9285714285714286,0.001333348752522485,0.001062251781147161,0.0013371810113596005,0.35714285714285715,True,5,0.8,0.0006814414991022977,9,1.0,0.0016955194488670333,False,watch
L3w_5m_rsi35_1w_above_sma9,5m,long,bb_dn,21,0.9047619047619048,0.0011520482334688852,0.000891933861311367,0.0014707498144861386,0.42857142857142855,True,10,0.8,0.000462583363749991,11,1.0,0.0017788344786678798,True,trade
L3cw_5m_rsi35_15m_below_1w_sma9,5m,long,bb_dn,19,0.9473684210526315,0.0011382391504653857,0.0010480651092816817,0.0014896079900352799,0.47368421052631576,True,9,0.8888888888888888,0.0006753962974146432,10,1.0,0.001554797718211054,True,trade
L4_15m_bbdn_stretch035,15m,long,bb_dn,14,0.6428571428571429,0.001746509627091489,0.0010107885198845645,0.004279170306264124,0.9285714285714286,True,4,0.75,0.0032884748596364033,10,0.6,0.0011297235340735235,False,watch
L5_15m_bbdn_rsi30,15m,long,bb_dn,16,0.625,0.0015698176132371705,0.001048387287336472,0.0029287026835466135,0.875,True,5,0.6,0.0010579376682992247,11,0.6363636363636364,0.0018024903154816912,True,trade
S1_15m_bbup_vwap_rsi65,15m,short,bb_up,20,0.55,0.0008084878932261175,6.093544493890324e-05,0.001791136106577107,0.55,True,14,0.5714285714285714,-0.0002794502349635075,6,0.5,0.0033470101923352424,False,watch
S1v_15m_bbup_vwap_rsi65_vix5crush,15m,short,bb_up,13,0.6153846153846154,0.001402768054720906,0.0007926312796695534,0.0020894846657264488,0.6923076923076923,True,7,0.7142857142857143,-0.00026372520609138243,6,0.5,0.0033470101923352424,False,watch
S1d_15m_bbup_vwap_rsi65_vix_dn,15m,short,bb_up,8,0.625,0.0018600631571519255,6.093544493890324e-05,0.001791136106577107,0.625,False,5,0.8,0.000686431767916007,3,0.3333333333333333,0.003816115472545123,False,skip
S2_15m_bbup_gap_up_stretch025,15m,short,bb_up,12,0.5833333333333334,0.0013270653317478398,0.0004749271527829668,0.0015606969492635292,0.5,True,8,0.5,9.445415140876823e-05,4,0.75,0.003792287692425983,False,watch
S3_5m_bbup_prior_down_rsi65,5m,short,bb_up,17,0.5294117647058824,0.0006575434066547056,9.007587584664023e-05,0.0007810393630469648,0.35294117647058826,True,11,0.5454545454545454,0.0007138774000544836,6,0.5,0.0005542644187551127,False,skip
S4_15m_bbup_narrow_bb,15m,short,bb_up,16,0.625,0.0005344193752059231,0.00015248207936269242,0.00190178391917728,0.625,True,11,0.5454545454545454,-0.00012352875710097688,5,0.8,0.001981905266281103,True,watch
