setup,mechanic,kind,bucket,n,und_wr,und_avg,opt_n,opt_wr,opt_avg,opt_med,opt_p05,vix_mean
L1_first,fixed_24,level,<13,0,,,,,,,,
L1_first,fixed_24,level,13-15,0,,,,,,,,
L1_first,fixed_24,level,15-18,21,0.8571428571428571,0.0018792943307943393,21.0,0.42857142857142855,0.0549837732940901,-0.01137402592899417,-0.11191715509302158,16.86571420942034
L1_first,fixed_24,level,18-22,7,0.7142857142857143,0.0010414391194733144,7.0,0.5714285714285714,-0.00858130455975665,0.03984126135784005,-0.2951783401546513,18.74428585597447
L1_first,fixed_24,level,22-30,0,,,,,,,,
L1_first,fixed_24,level,>=30,0,,,,,,,,
L1_first,fixed_24,pct252,pct 0-20 (low),1,0.0,-0.0011270794994313,1.0,0.0,-0.11484967121434686,-0.11484967121434686,-0.11484967121434686,15.31999969482422
L1_first,fixed_24,pct252,pct 20-40,8,0.875,0.003516084426895475,8.0,0.75,0.17496497852816736,0.0802392750291322,-0.07514330373646586,16.106249809265137
L1_first,fixed_24,pct252,pct 40-60,12,0.8333333333333334,0.0006351390207262275,12.0,0.25,-0.039381648876637344,-0.047820977029024325,-0.21009413235531438,17.503333409627277
L1_first,fixed_24,pct252,pct 60-80,7,0.8571428571428571,0.0017331415169353,7.0,0.5714285714285714,0.0403285338237502,0.03984126135784005,-0.12170868847839869,18.74000004359654
L1_first,fixed_24,pct252,pct 80-100 (high),0,,,,,,,,
L1_first,fixed_eod,level,<13,0,,,,,,,,
L1_first,fixed_eod,level,13-15,0,,,,,,,,
L1_first,fixed_eod,level,15-18,21,0.8095238095238095,0.003261888514850159,21.0,0.6666666666666666,0.09327875066335373,0.02530491527170331,-0.1598652648516009,16.86571420942034
L1_first,fixed_eod,level,18-22,7,1.0,0.0030810080985936286,7.0,0.42857142857142855,0.045778780770471386,-0.03579763106554856,-0.23266368862340117,18.74428585597447
L1_first,fixed_eod,level,22-30,0,,,,,,,,
L1_first,fixed_eod,level,>=30,0,,,,,,,,
L1_first,fixed_eod,pct252,pct 0-20 (low),1,0.0,-0.0011270794994313,1.0,0.0,-0.11484967121434686,-0.11484967121434686,-0.11484967121434686,15.31999969482422
L1_first,fixed_eod,pct252,pct 20-40,8,0.875,0.004978274075159813,8.0,0.875,0.1828373313486238,0.12617354590087615,-0.1585028016143916,16.106249809265137
L1_first,fixed_eod,pct252,pct 40-60,12,0.8333333333333334,0.002518640465910444,12.0,0.5833333333333334,0.02951338782811357,0.010031835788261612,-0.20862406602471784,17.503333409627277
L1_first,fixed_eod,pct252,pct 60-80,7,1.0,0.0030205595441766,7.0,0.42857142857142855,0.08247079940167455,-0.01137402592899417,-0.13271969683138765,18.74000004359654
L1_first,fixed_eod,pct252,pct 80-100 (high),0,,,,,,,,
L2_first,fixed_24,level,<13,0,,,,,,,,
L2_first,fixed_24,level,13-15,0,,,,,,,,
L2_first,fixed_24,level,15-18,19,0.8947368421052632,0.002422304770709402,19.0,0.47368421052631576,0.10687605437827623,-0.006849008360005238,-0.09479196130561356,16.85315784655119
L2_first,fixed_24,level,18-22,6,0.5,-0.0002674058551968667,6.0,0.3333333333333333,-0.07685729671606796,-0.0545578865282807,-0.30493909923113305,18.733333587646484
L2_first,fixed_24,level,22-30,0,,,,,,,,
L2_first,fixed_24,level,>=30,0,,,,,,,,
L2_first,fixed_24,pct252,pct 0-20 (low),1,0.0,-0.0011270794994313,1.0,0.0,-0.11484967121434686,-0.11484967121434686,-0.11484967121434686,15.31999969482422
L2_first,fixed_24,pct252,pct 20-40,7,1.0,0.0051580493119901425,7.0,0.8571428571428571,0.32520017129505735,0.09969447189876557,0.013440917595845984,16.037142617361887
