setup,mechanic,kind,bucket,n,und_wr,und_avg,opt_n,opt_wr,opt_avg,opt_med,opt_p05,vix_mean
L1_first,fixed_24,level,<13,0,,,,,,,,
L1_first,fixed_24,level,13-15,0,,,,,,,,
L1_first,fixed_24,level,15-18,21,0.9047619047619048,0.0063775119001126005,21.0,0.6190476190476191,0.10519469142448656,0.02105265136835488,-0.1059100359215911,16.86571420942034
L1_first,fixed_24,level,18-22,7,0.7142857142857143,0.0037129980332606,7.0,0.5714285714285714,0.019620388064848733,0.06620860323415512,-0.30038722294077125,18.74428585597447
L1_first,fixed_24,level,22-30,0,,,,,,,,
L1_first,fixed_24,level,>=30,0,,,,,,,,
L1_first,fixed_24,pct252,pct 0-20 (low),1,0.0,-0.0026215054360066,1.0,0.0,-0.1059100359215911,-0.1059100359215911,-0.1059100359215911,15.31999969482422
L1_first,fixed_24,pct252,pct 20-40,8,1.0,0.011194154121182801,8.0,0.875,0.25011911386607344,0.13451925421017652,-0.05430972314209576,16.106249809265137
L1_first,fixed_24,pct252,pct 40-60,12,0.8333333333333334,0.0027351852413546665,12.0,0.4166666666666667,-0.0043999211699844816,-0.027301435830811016,-0.3238756398821848,17.503333409627277
L1_first,fixed_24,pct252,pct 60-80,7,0.8571428571428571,0.005737826529353858,7.0,0.7142857142857143,0.07202677362871092,0.06620860323415512,-0.10727365836602658,18.74000004359654
L1_first,fixed_24,pct252,pct 80-100 (high),0,,,,,,,,
L1_first,fixed_eod,level,<13,0,,,,,,,,
L1_first,fixed_eod,level,13-15,0,,,,,,,,
L1_first,fixed_eod,level,15-18,21,0.8571428571428571,0.010480857332863892,21.0,0.7619047619047619,0.16483728278688545,0.10048923679662303,-0.14393349491028828,16.86571420942034
L1_first,fixed_eod,level,18-22,7,1.0,0.009794946738417413,7.0,0.42857142857142855,0.10830189141244262,-0.017424674263446738,-0.19622264739306303,18.74428585597447
L1_first,fixed_eod,level,22-30,0,,,,,,,,
L1_first,fixed_eod,level,>=30,0,,,,,,,,
L1_first,fixed_eod,pct252,pct 0-20 (low),1,0.0,-0.0026215054360066,1.0,0.0,-0.1059100359215911,-0.1059100359215911,-0.1059100359215911,15.31999969482422
L1_first,fixed_eod,pct252,pct 20-40,8,0.875,0.015532725989457213,8.0,0.875,0.30230386050017155,0.2204026478110369,-0.13740146785767882,16.106249809265137
L1_first,fixed_eod,pct252,pct 40-60,12,0.9166666666666666,0.008358244625089441,12.0,0.6666666666666666,0.07619698511148974,0.05055649886320579,-0.184688815822816,17.503333409627277
L1_first,fixed_eod,pct252,pct 60-80,7,1.0,0.009531913311191314,7.0,0.5714285714285714,0.1418302155705764,0.00019739439103094725,-0.09625767452224267,18.74000004359654
L1_first,fixed_eod,pct252,pct 80-100 (high),0,,,,,,,,
L2_first,fixed_24,level,<13,0,,,,,,,,
L2_first,fixed_24,level,13-15,0,,,,,,,,
L2_first,fixed_24,level,15-18,18,0.8888888888888888,0.005939970575914027,18.0,0.6111111111111112,0.09525479739591566,0.016428606130044154,-0.13816730645409556,16.89333332909478
L2_first,fixed_24,level,18-22,7,0.5714285714285714,0.002656974104004686,7.0,0.5714285714285714,0.007810903660613544,0.043067917107047826,-0.30038722294077125,18.74428585597447
L2_first,fixed_24,level,22-30,0,,,,,,,,
L2_first,fixed_24,level,>=30,0,,,,,,,,
L2_first,fixed_24,pct252,pct 0-20 (low),1,0.0,-0.0029648453917987,1.0,0.0,-0.11157083556140135,-0.11157083556140135,-0.11157083556140135,15.31999969482422
L2_first,fixed_24,pct252,pct 20-40,6,1.0,0.012294522944572249,6.0,1.0,0.28427771024473386,0.14743740922328097,0.041981198386997265,16.021666526794434
