symbol,date,gap,prev_close,o,h,l,c,v,dollar_vol,rel_vol
ABOS,2023-07-17,0.7532,6.28,11.01,11.3099,9.26,9.72,29235172,284165871,230.7
BBIO,2023-07-17,0.4687,18.22,26.76,34.28,26.29,32.04,47291139,1515208093,24.1
XMAX,2023-07-17,0.3784,2.22,3.06,3.29,2.4,2.81,5346516,15023709,988.4
NMAD,2023-07-17,0.1602,5.43,6.3,9.5,5.3201,7.53,4454603,33543160,282.7
STGW,2023-07-17,0.0934,7.39,8.08,8.59,8.0,8.19,2996942,24544954,5.2
LINK,2023-07-18,0.4768,7.313,10.8,11.49,5.995,6.767,3095767,20949055,767.2
PVLA,2023-07-18,0.3351,14.98,20.0,29.49,15.64,16.74,746810,12501599,51.6
HYPR,2023-07-18,0.1111,2.34,2.6,3.28,2.6,3.17,10344881,32793272,42.6
INOD,2023-07-18,0.0916,10.7,11.68,13.7,11.6,13.08,2417832,31625242,6.3
CVNA,2023-07-19,0.3568,7.96,10.8,11.38,9.42,11.16,599745010,6693154311,4.1
RBBN,2023-07-19,0.104,2.98,3.29,3.5395,3.25,3.39,2034515,6897005,4.8
WPRT,2023-07-19,0.0858,9.67,10.5,12.0,10.22,11.62,446386,5187005,8.3
ROOT,2023-07-19,0.077,10.65,11.47,13.05,11.13,12.63,1049592,13256346,4.6
CLBR,2023-07-19,0.0745,8.99,9.66,16.32,9.15,13.89,16605457,230649797,38.9
ICL,2023-07-19,0.0702,5.753,6.157,6.185,5.992,6.056,2182946,13219920,1.9
DJTWW,2023-07-21,0.6462,3.42,5.63,8.0,5.07,5.95,1627601,9684225,45.1
DJT,2023-07-21,0.25,13.36,16.7,25.85,16.24,20.08,31306649,628637511,148.6
GFAI,2023-07-21,0.1522,6.44,7.42,9.9,6.9001,8.4,75791932,636652228,106.8
PHUN,2023-07-21,0.1032,19.38,21.38,24.56,18.95,19.0,1002867,19054473,42.0
SDA,2023-07-21,0.0738,12.2,13.1,13.19,11.7,12.25,1287363,15770196,1.4
